Gene Id,Gene Name
ENSACAG00000006266,EPHA2
ENSACAG00000011424,BCL2L1
ENSACAG00000011459,COX4I2
ENSACAG00000002698,
ENSACAG00000015387,
ENSACAG00000017895,
ENSACAG00000011470,
ENSACAG00000011852,EARS2
ENSACAG00000015392,DRC7
ENSACAG00000008635,
ENSACAG00000028565,
ENSACAG00000026560,
ENSACAG00000027717,
ENSACAG00000029641,
ENSACAG00000029140,
ENSACAG00000004850,IGDCC4
ENSACAG00000006419,
ENSACAG00000024370,
ENSACAG00000029527,
ENSACAG00000013567,LAS1L
ENSACAG00000006772,PLLP
ENSACAG00000000230,ANK3
ENSACAG00000006738,ARL2BP
ENSACAG00000029640,
ENSACAG00000008925,AP1M1
ENSACAG00000023362,JUND
ENSACAG00000005621,
ENSACAG00000023320,
ENSACAG00000017890,FRMD6
ENSACAG00000002761,DSP
ENSACAG00000011333,
ENSACAG00000013582,ZC3H12B
ENSACAG00000029649,
ENSACAG00000008333,
ENSACAG00000028276,
ENSACAG00000009702,
ENSACAG00000008560,
ENSACAG00000029350,
ENSACAG00000013639,ZC4H2
ENSACAG00000000418,
ENSACAG00000004752,DPP8
ENSACAG00000006680,RSPRY1
ENSACAG00000005094,
ENSACAG00000008594,
ENSACAG00000009466,SLITRK4
ENSACAG00000013684,
ENSACAG00000029239,
ENSACAG00000010019,SF3B4
ENSACAG00000008432,
ENSACAG00000008450,
ENSACAG00000004719,HACD3
ENSACAG00000029037,
ENSACAG00000002841,BMP6
ENSACAG00000013691,
ENSACAG00000017886,RTRAF
ENSACAG00000013954,
ENSACAG00000014064,NEURL2
ENSACAG00000027514,
ENSACAG00000000565,
ENSACAG00000008232,MRPL4
ENSACAG00000006643,PSME3IP1
ENSACAG00000023535,
ENSACAG00000024213,
ENSACAG00000013711,
ENSACAG00000013663,
ENSACAG00000005989,
ENSACAG00000004036,SNUPN
ENSACAG00000004673,INTS14
ENSACAG00000003016,TXNDC5
ENSACAG00000000030,SALL2
ENSACAG00000012818,
ENSACAG00000004078,SNX33
ENSACAG00000006852,SH2D3C
ENSACAG00000028455,
ENSACAG00000000750,
ENSACAG00000003085,
ENSACAG00000002414,CSPG4
ENSACAG00000005578,
ENSACAG00000008922,
ENSACAG00000003104,
ENSACAG00000006827,CDK9
ENSACAG00000016261,ODF3L1
ENSACAG00000008892,SLC35B3
ENSACAG00000023100,
ENSACAG00000004531,DENND4A
ENSACAG00000011513,LINGO1
ENSACAG00000024900,
ENSACAG00000001889,MAP4K5
ENSACAG00000011232,MRPS9
ENSACAG00000005888,
ENSACAG00000006396,CPNE2
ENSACAG00000017862,NID2
ENSACAG00000008864,
ENSACAG00000000276,
ENSACAG00000008801,TFAP2A
ENSACAG00000011520,HMG20A
ENSACAG00000022350,GCNT2
ENSACAG00000008907,
ENSACAG00000013798,GABRA3
ENSACAG00000004479,RAB11A
ENSACAG00000000303,RABL6
ENSACAG00000025433,
ENSACAG00000011547,PEAK1
ENSACAG00000021049,TMEM14C
ENSACAG00000007270,TMEM182
ENSACAG00000004442,
ENSACAG00000011566,TSPAN3
ENSACAG00000001589,CCDC6
ENSACAG00000008708,MAK
ENSACAG00000007279,MFSD9
ENSACAG00000007422,
ENSACAG00000000122,
ENSACAG00000027930,
ENSACAG00000001625,SLC16A9
ENSACAG00000007302,SLC9A2
ENSACAG00000015359,INTS5
ENSACAG00000025980,
ENSACAG00000001675,
ENSACAG00000013905,
ENSACAG00000008677,GCM2
ENSACAG00000006373,
ENSACAG00000011683,PSTPIP1
ENSACAG00000028834,
ENSACAG00000007382,IL18RAP
ENSACAG00000001810,CDKL1
ENSACAG00000013990,GABRE
ENSACAG00000001677,
ENSACAG00000007402,IL18R1
ENSACAG00000008616,ELOVL2
ENSACAG00000001781,DMAC2L
ENSACAG00000011692,RCN2
ENSACAG00000008570,NEDD9
ENSACAG00000007434,IL1RL1
ENSACAG00000001826,PHYHIPL
ENSACAG00000009810,
ENSACAG00000001723,L2HGDH
ENSACAG00000008566,TMEM170B
ENSACAG00000028055,CNGA2
ENSACAG00000005422,REM1
ENSACAG00000014065,TMCC1
ENSACAG00000008530,ADTRP
ENSACAG00000013601,ANKRD44
ENSACAG00000001892,BICC1
ENSACAG00000007454,
ENSACAG00000014130,PRRG3
ENSACAG00000008494,HIVEP1
ENSACAG00000011770,SCAPER
ENSACAG00000014144,CLDN2
ENSACAG00000001943,
ENSACAG00000001956,CCSER2
ENSACAG00000014146,
ENSACAG00000015583,NLK
ENSACAG00000001355,SOS2
ENSACAG00000009891,ECH1
ENSACAG00000014092,PLXND1
ENSACAG00000008461,EDN1
ENSACAG00000014162,NUP62
ENSACAG00000007477,
ENSACAG00000006130,
ENSACAG00000010918,
ENSACAG00000009950,LGALS4
ENSACAG00000014258,rho
ENSACAG00000014327,
ENSACAG00000015623,NOS2
ENSACAG00000001335,ARF6
ENSACAG00000001147,
ENSACAG00000014304,IFT122
ENSACAG00000013805,PGAP1
ENSACAG00000001217,
ENSACAG00000000547,
ENSACAG00000026588,
ENSACAG00000001214,PDILT
ENSACAG00000000566,DNAH6
ENSACAG00000010046,
ENSACAG00000007525,MAP4K4
ENSACAG00000001109,
ENSACAG00000001456,UMOD
ENSACAG00000013909,GTF3C3
ENSACAG00000005448,
ENSACAG00000001576,GPR139
ENSACAG00000001585,NTN3
ENSACAG00000005512,CHRNA6
ENSACAG00000014000,CCDC150
ENSACAG00000001657,
ENSACAG00000005630,CHRNB3
ENSACAG00000001666,ATP6V0C
ENSACAG00000027143,
ENSACAG00000028469,
ENSACAG00000001708,
ENSACAG00000005705,THAP1
ENSACAG00000027089,
ENSACAG00000028573,
ENSACAG00000005721,RNF170
ENSACAG00000014733,MBD4
ENSACAG00000014066,HECW2
ENSACAG00000028788,
ENSACAG00000005732,HOOK3
ENSACAG00000005929,
ENSACAG00000014760,EFCAB12
ENSACAG00000022216,
ENSACAG00000014763,
ENSACAG00000013373,
ENSACAG00000014771,CAND2
ENSACAG00000012665,STK17B
ENSACAG00000005906,KCMF1
ENSACAG00000028380,
ENSACAG00000005961,FNTA
ENSACAG00000006003,FUT10
ENSACAG00000014855,SEC13
ENSACAG00000004041,MARCKSL1
ENSACAG00000004057,HDAC1
ENSACAG00000005421,
ENSACAG00000012358,DNAH7
ENSACAG00000014909,
ENSACAG00000015565,KCNU1
ENSACAG00000024299,
ENSACAG00000014931,IRAK2
ENSACAG00000026380,
ENSACAG00000022254,
ENSACAG00000014949,NTRK1
ENSACAG00000014956,
ENSACAG00000004198,
ENSACAG00000026709,
ENSACAG00000014974,THUMPD3
ENSACAG00000024082,
ENSACAG00000028540,
ENSACAG00000022417,
ENSACAG00000028694,FAM167B
ENSACAG00000029198,
ENSACAG00000016068,
ENSACAG00000027840,
ENSACAG00000012301,SLC39A10
ENSACAG00000004340,
ENSACAG00000013505,
ENSACAG00000022114,
ENSACAG00000007935,MC4R
ENSACAG00000014930,
ENSACAG00000021057,
ENSACAG00000013493,BANP
ENSACAG00000014985,SRGAP3
ENSACAG00000007940,C5orf22
ENSACAG00000028002,
ENSACAG00000002448,TTLL8
ENSACAG00000004506,
ENSACAG00000015085,PEAR1
ENSACAG00000025773,
ENSACAG00000011787,CASZ1
ENSACAG00000007392,TTLL11
ENSACAG00000028184,
ENSACAG00000023780,
ENSACAG00000008368,TAF10
ENSACAG00000013352,RTKN
ENSACAG00000023772,
ENSACAG00000029613,
ENSACAG00000007161,
ENSACAG00000023083,
ENSACAG00000028623,
ENSACAG00000011861,PEX14
ENSACAG00000014467,TLE3
ENSACAG00000027001,
ENSACAG00000025857,
ENSACAG00000004532,
ENSACAG00000004399,RELA
ENSACAG00000024872,
ENSACAG00000013720,
ENSACAG00000004581,DCDC2B
ENSACAG00000028416,
ENSACAG00000007172,
ENSACAG00000007970,DROSHA
ENSACAG00000004576,
ENSACAG00000011913,DFFA
ENSACAG00000004585,
ENSACAG00000015162,INSRR
ENSACAG00000015168,
ENSACAG00000004586,CCDC28B
ENSACAG00000022584,
ENSACAG00000011241,OXTR
ENSACAG00000029409,
ENSACAG00000022463,PGD
ENSACAG00000004595,TXLNA
ENSACAG00000004189,ATRN
ENSACAG00000027674,
ENSACAG00000007176,SBF1
ENSACAG00000004691,KPNA6
ENSACAG00000014349,UACA
ENSACAG00000015408,MRPL24
ENSACAG00000004714,
ENSACAG00000007163,DIPK1B
ENSACAG00000015424,RRNAD1
ENSACAG00000011994,
ENSACAG00000015444,ISG20L2
ENSACAG00000015454,CRABP2
ENSACAG00000022201,
ENSACAG00000027496,KIF1B
ENSACAG00000004783,TSSK3
ENSACAG00000023895,
ENSACAG00000004790,BSDC1
ENSACAG00000028286,
ENSACAG00000008152,CDH6
ENSACAG00000010530,
ENSACAG00000014214,
ENSACAG00000004819,ZBTB8A
ENSACAG00000003970,C20orf194
ENSACAG00000027008,
ENSACAG00000004857,ZBTB8OS
ENSACAG00000012967,UBE4B
ENSACAG00000007381,ZFHX2
ENSACAG00000013989,ADAMTS7
ENSACAG00000015466,
ENSACAG00000003965,
ENSACAG00000007340,NGDN
ENSACAG00000013132,RBP7
ENSACAG00000003941,SLC4A11
ENSACAG00000011761,
ENSACAG00000006296,MYH7
ENSACAG00000028070,
ENSACAG00000015741,PYGO2
ENSACAG00000029281,
ENSACAG00000010939,TLN1
ENSACAG00000025768,
ENSACAG00000013176,LZIC
ENSACAG00000013971,CIAO2A
ENSACAG00000024739,
ENSACAG00000003914,DDRGK1
ENSACAG00000027511,
ENSACAG00000023502,
ENSACAG00000025284,
ENSACAG00000015799,
ENSACAG00000011883,
ENSACAG00000013808,SPG11
ENSACAG00000011887,TXNL4B
ENSACAG00000015851,CKS1B
ENSACAG00000015861,TUBGCP2
ENSACAG00000011219,
ENSACAG00000021945,
ENSACAG00000028428,RSPO3
ENSACAG00000013759,EIF3J
ENSACAG00000010427,RNF146
ENSACAG00000023439,
ENSACAG00000010436,ECHDC1
ENSACAG00000015983,
ENSACAG00000022046,CDC42EP2
ENSACAG00000011429,
ENSACAG00000003746,
ENSACAG00000007099,SPNS3
ENSACAG00000008755,MCL1
ENSACAG00000009268,PLCL1
ENSACAG00000001051,
ENSACAG00000011497,GBA2
ENSACAG00000028938,
ENSACAG00000007147,C1QBP
ENSACAG00000008793,
ENSACAG00000023962,NHSL2
ENSACAG00000001059,CSF3R
ENSACAG00000009285,BOLL
ENSACAG00000001449,MID2
ENSACAG00000022796,MSMP
ENSACAG00000029645,RFX5
ENSACAG00000001061,MRPS15
ENSACAG00000023267,ENSA
ENSACAG00000025490,
ENSACAG00000001106,OSCP1
ENSACAG00000009388,RFTN2
ENSACAG00000025430,
ENSACAG00000001231,LSM10
ENSACAG00000008303,
ENSACAG00000009417,
ENSACAG00000003712,
ENSACAG00000007869,
ENSACAG00000007842,IRF2BP1
ENSACAG00000001240,STK40
ENSACAG00000000937,CORO1C
ENSACAG00000029475,
ENSACAG00000025862,
ENSACAG00000022477,MYPOP
ENSACAG00000009482,HSPE1
ENSACAG00000022912,
ENSACAG00000017369,DDA1
ENSACAG00000007452,
ENSACAG00000008265,
ENSACAG00000006269,EFS
ENSACAG00000029245,
ENSACAG00000001765,
ENSACAG00000029531,
ENSACAG00000001169,TMEM119
ENSACAG00000009505,HSPD1
ENSACAG00000012064,IFFO2
ENSACAG00000006219,SLC22A17
ENSACAG00000001172,ISCU
ENSACAG00000015016,SPIRE2
ENSACAG00000011612,
ENSACAG00000013114,
ENSACAG00000006185,
ENSACAG00000014947,TCF25
ENSACAG00000006182,PPP1R3E
ENSACAG00000001176,SART3
ENSACAG00000013703,
ENSACAG00000014389,PEX11B
ENSACAG00000009598,COQ10B
ENSACAG00000007001,
ENSACAG00000009546,DEF8
ENSACAG00000014107,FBN3
ENSACAG00000011550,
ENSACAG00000007727,
ENSACAG00000001379,FICD
ENSACAG00000009612,SF3B1
ENSACAG00000001387,
ENSACAG00000011181,
ENSACAG00000009584,
ENSACAG00000011479,
ENSACAG00000007086,CPVL
ENSACAG00000015585,RASGRF1
ENSACAG00000009696,DBNDD1
ENSACAG00000023371,
ENSACAG00000001236,ABCA3
ENSACAG00000014793,
ENSACAG00000007137,TRIL
ENSACAG00000016135,ENTPD2
ENSACAG00000008602,DCC
ENSACAG00000008078,
ENSACAG00000007144,CREB5
ENSACAG00000007843,STARD8
ENSACAG00000009706,GAS8
ENSACAG00000007174,JAZF1
ENSACAG00000015663,CTSH
ENSACAG00000009161,
ENSACAG00000026691,
ENSACAG00000029522,
ENSACAG00000007204,TAX1BP1
ENSACAG00000009496,
ENSACAG00000015720,
ENSACAG00000004129,ZDHHC3
ENSACAG00000009628,OPHN1
ENSACAG00000016173,
ENSACAG00000027210,
ENSACAG00000000874,
ENSACAG00000003744,
ENSACAG00000004168,
ENSACAG00000008826,
ENSACAG00000026096,
ENSACAG00000007238,HIBADH
ENSACAG00000004309,
ENSACAG00000003659,MSN
ENSACAG00000007272,EVX1
ENSACAG00000024197,
ENSACAG00000000685,
ENSACAG00000002464,
ENSACAG00000010302,
ENSACAG00000004291,
ENSACAG00000004317,KIF15
ENSACAG00000000740,
ENSACAG00000003626,
ENSACAG00000004298,
ENSACAG00000003596,
ENSACAG00000010304,HOXA11
ENSACAG00000010315,
ENSACAG00000003594,
ENSACAG00000007286,
ENSACAG00000004348,CDKN1B
ENSACAG00000010322,HOXA7
ENSACAG00000003529,
ENSACAG00000004405,KIAA1143
ENSACAG00000026579,
ENSACAG00000010364,HOXA5
ENSACAG00000004360,GPR19
ENSACAG00000010390,HOXA4
ENSACAG00000004363,CREBL2
ENSACAG00000010401,HOXA3
ENSACAG00000004408,CTNNB1
ENSACAG00000010430,HOXA2
ENSACAG00000003376,HEPH
ENSACAG00000010967,HOXA1
ENSACAG00000010455,SKAP2
ENSACAG00000024656,
ENSACAG00000000029,PCGF1
ENSACAG00000004565,
ENSACAG00000003351,
ENSACAG00000004124,TRAK1
ENSACAG00000003255,
ENSACAG00000004398,CCK
ENSACAG00000017884,EIF1B
ENSACAG00000022856,
ENSACAG00000004434,
ENSACAG00000003239,FAM199X
ENSACAG00000027418,
ENSACAG00000028904,
ENSACAG00000013978,
ENSACAG00000027762,
ENSACAG00000002296,SETD2
ENSACAG00000027622,
ENSACAG00000029163,
ENSACAG00000001762,
ENSACAG00000013964,
ENSACAG00000004125,TMC2
ENSACAG00000009837,
ENSACAG00000015373,
ENSACAG00000001014,SRRT
ENSACAG00000009754,ANXA4
ENSACAG00000002774,
ENSACAG00000001227,
ENSACAG00000001233,
ENSACAG00000012097,
ENSACAG00000012212,PDCL
ENSACAG00000001258,UFSP1
ENSACAG00000028539,
ENSACAG00000001264,SLC12A9
ENSACAG00000026452,
ENSACAG00000023101,
ENSACAG00000012242,PTGS1
ENSACAG00000002145,EVA1B
ENSACAG00000012889,DAGLB
ENSACAG00000017475,
ENSACAG00000007918,RAMP3
ENSACAG00000002158,
ENSACAG00000029571,
ENSACAG00000014102,
ENSACAG00000002180,THRAP3
ENSACAG00000004183,
ENSACAG00000022661,
ENSACAG00000025431,MYCL
ENSACAG00000028877,
ENSACAG00000002280,TRIT1
ENSACAG00000001819,AAR2
ENSACAG00000000486,PCSK4
ENSACAG00000003979,GSPT1
ENSACAG00000002404,
ENSACAG00000001851,EPB41L1
ENSACAG00000002443,HPCAL4
ENSACAG00000004246,
ENSACAG00000005016,PAQR5
ENSACAG00000002502,NT5C1A
ENSACAG00000015362,
ENSACAG00000004383,CDV3
ENSACAG00000029687,
ENSACAG00000004994,
ENSACAG00000004403,BFSP2
ENSACAG00000002544,PABPC4
ENSACAG00000009759,RPL4
ENSACAG00000002061,SRSF6
ENSACAG00000007457,TDRKH
ENSACAG00000011330,
ENSACAG00000017542,FOXK1
ENSACAG00000004468,TMEM108
ENSACAG00000003912,RRN3
ENSACAG00000011218,
ENSACAG00000002143,
ENSACAG00000011379,
ENSACAG00000008059,EMX1
ENSACAG00000011220,SLC35F6
ENSACAG00000009844,ZWILCH
ENSACAG00000026400,
ENSACAG00000002688,PPIE
ENSACAG00000010881,
ENSACAG00000025519,
ENSACAG00000017557,AP5Z1
ENSACAG00000029671,
ENSACAG00000028238,
ENSACAG00000011398,TCF7L1
ENSACAG00000028234,ND3
ENSACAG00000008008,SFXN5
ENSACAG00000028228,COX2
ENSACAG00000027398,
ENSACAG00000028225,COX1
ENSACAG00000010101,
ENSACAG00000009899,SMAD6
ENSACAG00000028223,
ENSACAG00000028221,
ENSACAG00000028219,ND2
ENSACAG00000028215,ND1
ENSACAG00000028214,
ENSACAG00000011504,DBNL
ENSACAG00000028212,
ENSACAG00000003857,NTAN1
ENSACAG00000002261,SGK2
ENSACAG00000017568,RADIL
ENSACAG00000002816,
ENSACAG00000010098,
ENSACAG00000009914,SMAD3
ENSACAG00000007233,OS9
ENSACAG00000022493,
ENSACAG00000022415,
ENSACAG00000020976,
ENSACAG00000017584,
ENSACAG00000022111,
ENSACAG00000014969,FGF12
ENSACAG00000010060,SYVN1
ENSACAG00000010276,MMD2
ENSACAG00000002461,IFT52
ENSACAG00000003758,PDXDC1
ENSACAG00000008222,
ENSACAG00000022421,
ENSACAG00000011605,CAPG
ENSACAG00000002164,PCDH7
ENSACAG00000029048,
ENSACAG00000022830,
ENSACAG00000027866,
ENSACAG00000014501,WIPI2
ENSACAG00000024177,
ENSACAG00000005249,
ENSACAG00000010006,AAGAB
ENSACAG00000002463,MYBL2
ENSACAG00000002949,
ENSACAG00000027554,
ENSACAG00000008349,
ENSACAG00000001143,USP48
ENSACAG00000010052,IQCH
ENSACAG00000028974,
ENSACAG00000014620,SLC29A4
ENSACAG00000003741,BMERB1
ENSACAG00000014091,
ENSACAG00000022067,AEBP1
ENSACAG00000014631,TNRC18
ENSACAG00000003689,
ENSACAG00000006544,ZC3H18
ENSACAG00000027559,
ENSACAG00000027631,
ENSACAG00000010072,MAP2K5
ENSACAG00000011710,POLD2
ENSACAG00000000511,CAPNS1
ENSACAG00000006597,
ENSACAG00000003326,
ENSACAG00000026906,
ENSACAG00000006600,CYBA
ENSACAG00000000939,
ENSACAG00000003478,ABCC6
ENSACAG00000011822,GCK
ENSACAG00000000875,
ENSACAG00000029300,
ENSACAG00000002610,PCTP
ENSACAG00000028583,CHP2
ENSACAG00000006654,MVD
ENSACAG00000003320,
ENSACAG00000002609,TMEM100
ENSACAG00000010183,PIAS1
ENSACAG00000000787,
ENSACAG00000003412,NDUFS5
ENSACAG00000000693,TIMM50
ENSACAG00000003415,azin2
ENSACAG00000006701,
ENSACAG00000011947,YKT6
ENSACAG00000006707,RNF166
ENSACAG00000010259,CALML4
ENSACAG00000010272,CLN6
ENSACAG00000029023,
ENSACAG00000006759,CTU2
ENSACAG00000001361,FEM1B
ENSACAG00000025822,
ENSACAG00000012012,CAMK2B
ENSACAG00000003331,
ENSACAG00000000375,SUPT5H
ENSACAG00000000244,CDH9
ENSACAG00000011341,
ENSACAG00000026084,
ENSACAG00000016181,CDH10
ENSACAG00000003299,
ENSACAG00000011362,
ENSACAG00000011215,
ENSACAG00000003122,MAU2
ENSACAG00000006792,PIEZO1
ENSACAG00000004596,
ENSACAG00000002043,NUDCD3
ENSACAG00000005862,
ENSACAG00000008547,
ENSACAG00000011305,FAM160A2
ENSACAG00000029077,
ENSACAG00000005905,PRUNE1
ENSACAG00000002010,PGAM2
ENSACAG00000022351,
ENSACAG00000025158,
ENSACAG00000022821,
ENSACAG00000023418,
ENSACAG00000026834,
ENSACAG00000003884,
ENSACAG00000016017,
ENSACAG00000001928,
ENSACAG00000012859,
ENSACAG00000025624,
ENSACAG00000001877,ZMIZ2
ENSACAG00000006158,
ENSACAG00000023749,
ENSACAG00000025627,
ENSACAG00000006004,MXD1
ENSACAG00000026154,
ENSACAG00000012862,
ENSACAG00000000826,
ENSACAG00000028405,
ENSACAG00000029275,
ENSACAG00000009089,
ENSACAG00000005984,
ENSACAG00000009065,NUDT1
ENSACAG00000001882,
ENSACAG00000025816,
ENSACAG00000003018,
ENSACAG00000009015,SNX8
ENSACAG00000005866,ADD2
ENSACAG00000001508,OGDH
ENSACAG00000015979,
ENSACAG00000008874,
ENSACAG00000023356,
ENSACAG00000009725,DNAH2
ENSACAG00000025145,
ENSACAG00000029043,
ENSACAG00000008862,CHST12
ENSACAG00000003608,SERHL2
ENSACAG00000008815,LFNG
ENSACAG00000014393,
ENSACAG00000005396,CKM
ENSACAG00000022429,
ENSACAG00000001507,
ENSACAG00000004936,BARHL2
ENSACAG00000004522,KCNN4
ENSACAG00000003579,RRP7A
ENSACAG00000001501,
ENSACAG00000000509,
ENSACAG00000009947,CCT8L2
ENSACAG00000028772,
ENSACAG00000028465,
ENSACAG00000023009,
ENSACAG00000001497,
ENSACAG00000013400,SSU72
ENSACAG00000005606,HK2
ENSACAG00000009949,EFNB3
ENSACAG00000000090,
ENSACAG00000004462,SMG9
ENSACAG00000020994,
ENSACAG00000029145,
ENSACAG00000008745,TTYH3
ENSACAG00000001472,LZTS1
ENSACAG00000023463,
ENSACAG00000003515,POLDIP3
ENSACAG00000008428,
ENSACAG00000022443,
ENSACAG00000002721,SLC16A2
ENSACAG00000025703,
ENSACAG00000000631,ULK2
ENSACAG00000004461,
ENSACAG00000015923,CDH18
ENSACAG00000001266,ATP6V1B2
ENSACAG00000003352,CAPN15
ENSACAG00000002725,RLIM
ENSACAG00000027865,
ENSACAG00000029220,
ENSACAG00000008730,
ENSACAG00000029510,
ENSACAG00000028902,
ENSACAG00000002731,NEXMIF
ENSACAG00000029488,
ENSACAG00000016375,PPP1R16A
ENSACAG00000004441,
ENSACAG00000026995,
ENSACAG00000003455,
ENSACAG00000008687,BRAT1
ENSACAG00000001000,BASP1
ENSACAG00000025215,
ENSACAG00000004433,
ENSACAG00000000930,SLC18A1
ENSACAG00000009530,LSM5
ENSACAG00000008628,AMZ1
ENSACAG00000021977,
ENSACAG00000004436,
ENSACAG00000004432,
ENSACAG00000000835,ALDH3A2
ENSACAG00000008583,GNA12
ENSACAG00000003424,UBN2
ENSACAG00000010950,
ENSACAG00000004431,
ENSACAG00000008850,
ENSACAG00000004429,
ENSACAG00000009642,KLF7
ENSACAG00000004426,
ENSACAG00000008579,
ENSACAG00000005530,TACR1
ENSACAG00000000888,MAK16
ENSACAG00000006382,MRPL48
ENSACAG00000023396,
ENSACAG00000003343,TTC26
ENSACAG00000009610,FASTKD2
ENSACAG00000004424,
ENSACAG00000027084,
ENSACAG00000028324,
ENSACAG00000005503,
ENSACAG00000023872,
ENSACAG00000000885,RNF122
ENSACAG00000006401,
ENSACAG00000023435,
ENSACAG00000009189,ARR3
ENSACAG00000029673,
ENSACAG00000009563,MDH1B
ENSACAG00000016054,
ENSACAG00000008937,SEC16A
ENSACAG00000000791,DUSP26
ENSACAG00000000487,RAB26
ENSACAG00000004396,
ENSACAG00000000785,
ENSACAG00000028631,
ENSACAG00000002529,SDK1
ENSACAG00000028719,
ENSACAG00000004379,
ENSACAG00000003878,
ENSACAG00000004373,
ENSACAG00000023729,
ENSACAG00000004358,PHLDB3
ENSACAG00000013577,
ENSACAG00000009477,ADAM23
ENSACAG00000004321,ETHE1
ENSACAG00000009131,
ENSACAG00000000343,UNC5D
ENSACAG00000009094,
ENSACAG00000029066,
ENSACAG00000016959,
ENSACAG00000000730,RHOT2
ENSACAG00000003902,
ENSACAG00000022695,
ENSACAG00000008482,RFX7
ENSACAG00000009474,
ENSACAG00000004188,
ENSACAG00000028901,
ENSACAG00000001415,GPR1
ENSACAG00000001423,EEF1B2
ENSACAG00000002801,
ENSACAG00000003922,
ENSACAG00000029593,
ENSACAG00000028889,
ENSACAG00000004176,
ENSACAG00000028561,
ENSACAG00000004112,DHX34
ENSACAG00000004107,
ENSACAG00000004076,CCDC9
ENSACAG00000005253,C1QTNF12
ENSACAG00000014599,SOCS1
ENSACAG00000004011,SAE1
ENSACAG00000002775,
ENSACAG00000024464,
ENSACAG00000028426,
ENSACAG00000012280,TSHZ3
ENSACAG00000026309,
ENSACAG00000012257,ZNF536
ENSACAG00000002785,
ENSACAG00000003986,ZC3H4
ENSACAG00000012186,URI1
ENSACAG00000028019,
ENSACAG00000010581,
ENSACAG00000011585,THOC2
ENSACAG00000003980,PPP1R14A
ENSACAG00000001471,NDUFS1
