,human_ncbi_id,xenDB_id,frog_gene_name,frog_gene_description,human gene name,Ensembl GeneIDs,xenDB_geneID,frog_ncbi
13,7049,XB-GENEPAGE-478195,TGFBR3,transforming growth factor beta receptor III,TGFBR3,ENSG00000069702,XB-GENE-17335958,108715664
14,8862,XB-GENEPAGE-478201,APLN,apelin,APLN,ENSG00000171388,XB-GENE-6255529,100037057
15,8322,XB-GENEPAGE-478209,FZD4,frizzled class receptor 4,FZD4,ENSG00000174804,XB-GENE-865153,399192
16,8802,XB-GENEPAGE-478219,SUCLG1,"succinate-CoA ligase, alpha subunit",SUCLG1,ENSG00000163541,XB-GENE-17335796,108706503
17,5802,XB-GENEPAGE-478235,PTPRS,protein tyrosine phosphatase receptor type S,PTPRS,ENSG00000105426,XB-GENE-865156,398161
18,80326,XB-GENEPAGE-478245,WNT10A,Wnt family member 10A,WNT10A,ENSG00000135925,XB-GENE-17343729,108702936
19,25928,XB-GENEPAGE-478255,SOSTDC1,sclerostin domain containing 1,SOSTDC1,ENSG00000171243,XB-GENE-865158,386733
20,6929,XB-GENEPAGE-478264,TCF3,transcription factor 3,TCF3,ENSG00000071564,XB-GENE-17343115,380101
21,5020,XB-GENEPAGE-478273,OXT,oxytocin/neurophysin I prepropeptide,OXT,ENSG00000101405,XB-GENE-17334422,108705793
22,79969,XB-GENEPAGE-478279,ATAT1,alpha tubulin acetyltransferase 1,ATAT1,ENSG00000137343,XB-GENE-865161,735057
23,123041,XB-GENEPAGE-478287,SLC24A4,solute carrier family 24 member 4,SLC24A4,ENSG00000140090,XB-GENE-17340191,108700484
24,388,XB-GENEPAGE-478300,RHOB,ras homolog family member B,RHOB,ENSG00000143878,XB-GENE-6077451,734999
25,7704,XB-GENEPAGE-478309,ZBTB16,zinc finger and BTB domain containing 16,ZBTB16,ENSG00000109906,XB-GENE-6489332,108697616
26,8326,XB-GENEPAGE-478316,FZD9,frizzled class receptor 9,FZD9,ENSG00000188763,XB-GENE-11536276,108709318
27,80864,XB-GENEPAGE-478326,EGFL8,EGF like domain multiple 8,EGFL8,ENSG00000241404,XB-GENE-17339290,108700225
28,11023,XB-GENEPAGE-478344,VAX1,ventral anterior homeobox 1,VAX1,ENSG00000148704,XB-GENE-6252856,373698
29,2266,XB-GENEPAGE-478354,FGG,fibrinogen gamma chain,FGG,ENSG00000171557,XB-GENE-17331651,108706651
30,9770,XB-GENEPAGE-478364,RASSF2,Ras association domain family member 2,RASSF2,ENSG00000101265,XB-GENE-17340442,108712761
31,5789,XB-GENEPAGE-478373,PTPRD,protein tyrosine phosphatase receptor type D,PTPRD,ENSG00000153707,XB-GENE-865171,399155
32,5836,XB-GENEPAGE-478382,PYGL,"phosphorylase, glycogen, liver",PYGL,ENSG00000100504,XB-GENE-865172,494832
33,121599,XB-GENEPAGE-478391,SPIC,Spi-C transcription factor,SPIC,ENSG00000166211,XB-GENE-17345039,446812
34,9975,XB-GENEPAGE-478409,NR1D2,nuclear receptor subfamily 1 group D member 2,NR1D2,ENSG00000174738,XB-GENE-17339579,108719956
35,5597,XB-GENEPAGE-478418,MAPK6,mitogen-activated protein kinase 6,MAPK6,ENSG00000069956,XB-GENE-6485781,108712920
36,9479,XB-GENEPAGE-478436,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,MAPK8IP1,ENSG00000121653,XB-GENE-17331342,108714940
37,4734,XB-GENEPAGE-478442,NEDD4,NEDD4 E3 ubiquitin protein ligase,NEDD4,ENSG00000069869,XB-GENE-17338304,108712929
38,1406,XB-GENEPAGE-478451,CRX,cone-rod homeobox,CRX,ENSG00000105392,XB-GENE-6252876,373653
39,3232,XB-GENEPAGE-478461,HOXD3,homeobox D3,HOXD3,ENSG00000128652,XB-GENE-17338958,108703006
40,116448,XB-GENEPAGE-478471,OLIG1,oligodendrocyte transcription factor 1,OLIG1,ENSG00000184221,XB-GENE-17330049,108709077
41,91608,XB-GENEPAGE-478478,RASL10B,RAS like family 10 member B,RASL10B,ENSG00000270885,XB-GENE-17330041,108709618
42,1081,XB-GENEPAGE-478482,CGA,"glycoprotein hormones, alpha polypeptide",CGA,ENSG00000135346,XB-GENE-6252371,378681
43,6258,XB-GENEPAGE-478492,RXRG,retinoid X receptor gamma,RXRG,ENSG00000143171,XB-GENE-17336916,734648
44,10631,XB-GENEPAGE-478501,POSTN,"periostin, osteoblast specific factor",POSTN,ENSG00000133110,XB-GENE-17335613,108709939
45,22950,XB-GENEPAGE-478511,SLC4A1AP,solute carrier family 4 member 1 adaptor protein,SLC4A1AP,ENSG00000163798,XB-GENE-17331613,108717380
46,3212,XB-GENEPAGE-478524,HOXB2,homeobox B2,HOXB2,ENSG00000173917,XB-GENE-478530,733446
47,6095,XB-GENEPAGE-478534,RORA,RAR related orphan receptor A,RORA,ENSG00000069667,XB-GENE-17343727,108712978
48,2304,XB-GENEPAGE-478543,FOXE1,forkhead box E1,FOXE1,ENSG00000178919,XB-GENE-17336853,108706916
49,3915,XB-GENEPAGE-478552,LAMC1,laminin subunit gamma 1,LAMC1,ENSG00000135862,XB-GENE-6485731,108715634
50,904,XB-GENEPAGE-478568,CCNT1,cyclin T1,CCNT1,ENSG00000129315,XB-GENE-17336292,108709810
51,92737,XB-GENEPAGE-478577,DNER,delta/notch like EGF repeat containing,DNER,ENSG00000187957,XB-GENE-6253464,733218
52,7046,XB-GENEPAGE-478586,TGFBR1,transforming growth factor beta receptor I,TGFBR1,ENSG00000106799,XB-GENE-865194,399295
53,10817,XB-GENEPAGE-478599,FRS3,fibroblast growth factor receptor substrate 3,FRS3,ENSG00000137218,XB-GENE-865196,432079
54,157848,XB-GENEPAGE-478608,NKX6-3,NK6 homeobox 3,NKX6-3,ENSG00000165066,XB-GENE-17331657,108712455
55,7136,XB-GENEPAGE-478628,TNNI2,"troponin I2, fast skeletal type",TNNI2,ENSG00000130598,XB-GENE-865200,379243
56,51339,XB-GENEPAGE-478638,DACT1,dishevelled-binding antagonist of beta-catenin 1,DACT1,ENSG00000165617,XB-GENE-6251608,398315
57,22881,XB-GENEPAGE-478655,ANKRD6,ankyrin repeat domain 6,ANKRD6,ENSG00000135299,XB-GENE-17338668,108717970
58,5580,XB-GENEPAGE-478662,PRKCD,protein kinase C delta,PRKCD,ENSG00000163932,XB-GENE-6253884,404226
59,3667,XB-GENEPAGE-478671,IRS1,insulin receptor substrate 1,IRS1,ENSG00000169047,XB-GENE-17338071,108718134
60,2314,XB-GENEPAGE-478680,FLII,FLII actin remodeling protein,FLII,ENSG00000177731,XB-GENE-865203,444748
61,7917,XB-GENEPAGE-478688,BAG6,BAG cochaperone 6,BAG6,ENSG00000204463,XB-GENE-865204,398926
62,2264,XB-GENEPAGE-478698,FGFR4,fibroblast growth factor receptor 4,FGFR4,ENSG00000160867,XB-GENE-6251918,398181
63,8812,XB-GENEPAGE-478708,CCNK,cyclin K,CCNK,ENSG00000090061,XB-GENE-17344696,108699804
64,6256,XB-GENEPAGE-478717,RXRA,retinoid X receptor alpha,RXRA,ENSG00000186350,XB-GENE-17336574,108699915
65,3615,XB-GENEPAGE-478727,IMPDH2,IMP (inosine 5'-monophosphate) dehydrogenase 2,IMPDH2,ENSG00000178035,XB-GENE-478732,398453
66,1159,XB-GENEPAGE-478737,CKMT1B,"creatine kinase, mitochondrial 1B",CKMT1B,ENSG00000237289,XB-GENE-6254065,380155
67,1030,XB-GENEPAGE-478745,CDKN2B,cyclin-dependent kinase inhibitor 2B,CDKN2B,ENSG00000147883,XB-GENE-17343508,108706939
68,79109,XB-GENEPAGE-478751,MAPKAP1,MAPK associated protein 1,MAPKAP1,ENSG00000119487,XB-GENE-17335392,108700015
69,6496,XB-GENEPAGE-478760,SIX3,SIX homeobox 3,SIX3,ENSG00000138083,XB-GENE-17343547,398146
70,2243,XB-GENEPAGE-478770,FGA,fibrinogen alpha chain,FGA,ENSG00000171560,XB-GENE-478775,380021
71,6862,XB-GENEPAGE-478788,TBXT,T-box transcription factor T,TBXT,ENSG00000164458,XB-GENE-865212,399275
72,80144,XB-GENEPAGE-478806,FRAS1,Fraser extracellular matrix complex subunit 1,FRAS1,ENSG00000138759,XB-GENE-6487486,108704516
73,8323,XB-GENEPAGE-478812,FZD6,frizzled class receptor 6,FZD6,ENSG00000164930,XB-GENE-865215,495007
74,5604,XB-GENEPAGE-478821,MAP2K1,mitogen-activated protein kinase kinase 1,MAP2K1,ENSG00000169032,XB-GENE-17341792,108712802
75,3229,XB-GENEPAGE-478831,HOXC13,homeobox C13,HOXC13,ENSG00000123364,XB-GENE-6488550,108709899
76,84955,XB-GENEPAGE-478840,NUDCD1,NudC domain containing 1,NUDCD1,ENSG00000120526,XB-GENE-865218,380474
77,90,XB-GENEPAGE-478849,ACVR1,activin A receptor type 1,ACVR1,ENSG00000115170,XB-GENE-865219,399083
78,4613,XB-GENEPAGE-478858,MYCN,"MYCN proto-oncogene, bHLH transcription factor",MYCN,ENSG00000134323,XB-GENE-478863,380041
79,551,XB-GENEPAGE-478868,AVP,arginine vasopressin,AVP,ENSG00000101200,XB-GENE-17342966,108705783
80,27302,XB-GENEPAGE-478874,BMP10,bone morphogenetic protein 10,BMP10,ENSG00000163217,XB-GENE-17334271,108712458
81,3206,XB-GENEPAGE-478887,HOXA10,homeobox A10,HOXA10,ENSG00000253293,XB-GENE-17338861,108719931
82,90627,XB-GENEPAGE-478897,STARD13,StAR related lipid transfer domain containing 13,STARD13,ENSG00000133121,XB-GENE-865223,734206
83,133308,XB-GENEPAGE-478906,SLC9B2,solute carrier family 9 member B2,SLC9B2,ENSG00000164038,XB-GENE-17337319,108706734
84,28973,XB-GENEPAGE-478911,MRPS18B,mitochondrial ribosomal protein S18B,MRPS18B,ENSG00000204568,XB-GENE-865225,734739
85,2294,XB-GENEPAGE-478921,FOXF1,forkhead box F1,FOXF1,ENSG00000103241,XB-GENE-6254084,735218
86,51289,XB-GENEPAGE-478938,RXFP3,relaxin family peptide receptor 3,RXFP3,ENSG00000182631,XB-GENE-17345479,108707319
87,4953,XB-GENEPAGE-478944,ODC1,ornithine decarboxylase 1,ODC1,ENSG00000115758,XB-GENE-17336191,108718243
88,185,XB-GENEPAGE-478952,AGTR1,angiotensin II receptor type 1,AGTR1,ENSG00000144891,XB-GENE-5969923,378523
89,3233,XB-GENEPAGE-478961,HOXD4,homeobox D4,HOXD4,ENSG00000170166,XB-GENE-17335561,108703007
90,92211,XB-GENEPAGE-478981,CDHR1,cadherin related family member 1,CDHR1,ENSG00000148600,XB-GENE-17339736,108703385
91,3096,XB-GENEPAGE-479001,HIVEP1,HIVEP zinc finger 1,HIVEP1,ENSG00000095951,XB-GENE-865233,496396
92,5862,XB-GENEPAGE-479010,RAB2A,"RAB2A, member RAS oncogene family",RAB2A,ENSG00000104388,XB-GENE-17340518,108695312
93,4824,XB-GENEPAGE-479026,NKX3-1,NK3 homeobox 1,NKX3-1,ENSG00000167034,XB-GENE-6252708,373737
94,5908,XB-GENEPAGE-479035,RAP1B,"RAP1B, member of RAS oncogene family",RAP1B,ENSG00000127314,XB-GENE-17341081,108713157
95,57154,XB-GENEPAGE-479045,SMURF1,SMAD specific E3 ubiquitin protein ligase 1,SMURF1,ENSG00000198742,XB-GENE-17332942,108703087
96,2296,XB-GENEPAGE-479054,FOXC1,forkhead box C1,FOXC1,ENSG00000054598,XB-GENE-6252135,397996
97,1456,XB-GENEPAGE-479073,CSNK1G3,casein kinase 1 gamma 3,CSNK1G3,ENSG00000151292,XB-GENE-17342298,734338
98,51552,XB-GENEPAGE-479092,RAB14,"RAB14, member RAS oncogene family",RAB14,ENSG00000119396,XB-GENE-479097,494665
99,30009,XB-GENEPAGE-479102,TBX21,T-box 21,TBX21,ENSG00000073861,XB-GENE-17335678,108702175
100,56884,XB-GENEPAGE-479111,FSTL5,follistati like 5,FSTL5,ENSG00000168843,XB-GENE-6488517,108706642
101,10215,XB-GENEPAGE-479117,OLIG2,oligodendrocyte lineage transcription factor 2,OLIG2,ENSG00000205927,XB-GENE-17343806,108709229
102,8671,XB-GENEPAGE-479124,SLC4A4,solute carrier family 4 member 4,SLC4A4,ENSG00000080493,XB-GENE-17343287,108706771
103,654,XB-GENEPAGE-479133,BMP6,bone morphogenetic protein 6,BMP6,ENSG00000153162,XB-GENE-865243,734440
104,4005,XB-GENEPAGE-479143,LMO2,LIM domain only 2,LMO2,ENSG00000135363,XB-GENE-6254426,394388
105,351,XB-GENEPAGE-479153,APP,amyloid beta precursor protein,APP,ENSG00000142192,XB-GENE-17345003,379251
106,4681,XB-GENEPAGE-479180,NBL1,"NBL1, DAN family BMP antagonist",NBL1,ENSG00000158747,XB-GENE-17332691,108697874
107,649,XB-GENEPAGE-479190,BMP1,bone morphogenetic protein 1,BMP1,ENSG00000168487,XB-GENE-479195,399093
108,28514,XB-GENEPAGE-479209,DLL1,delta-like 1,DLL1,ENSG00000198719,XB-GENE-17339584,108717842
109,54851,XB-GENEPAGE-479218,ANKRD49,ankyrin repeat domain 49,ANKRD49,ENSG00000168876,XB-GENE-865251,100380951
110,5527,XB-GENEPAGE-479227,PPP2R5C,"protein phosphatase 2 regulatory subunit B', gamma",PPP2R5C,ENSG00000078304,XB-GENE-17338969,108699778
111,200350,XB-GENEPAGE-479246,FOXD4L1,"forkhead box D4 like 1, gene 1",FOXD4L1,ENSG00000184492,XB-GENE-865254,398170
112,2261,XB-GENEPAGE-479254,FGFR3,"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)",FGFR3,ENSG00000068078,XB-GENE-17330101,399347
113,4320,XB-GENEPAGE-479264,MMP11,matrix metallopeptidase 11,MMP11,ENSG00000099953,XB-GENE-17337788,108707122
114,2138,XB-GENEPAGE-479278,EYA1,EYA transcriptional coactivator and phosphatase 1,EYA1,ENSG00000104313,XB-GENE-17346520,108695338
115,51684,XB-GENEPAGE-479288,SUFU,SUFU negative regulator of hedgehog signaling,SUFU,ENSG00000107882,XB-GENE-17337188,108697422
116,6559,XB-GENEPAGE-479311,SLC12A3L,solute carrier family 12 member 3 like,SLC12A3,ENSG00000070915,XB-GENE-17342062,108707046
117,4851,XB-GENEPAGE-479317,NOTCH1,notch 1 receptor,NOTCH1,ENSG00000148400,XB-GENE-865261,394367
118,8543,XB-GENEPAGE-479326,LMO4.2,"LIM domain only 4, gene 2",LMO4,ENSG00000143013,XB-GENE-6256064,379392
119,27314,XB-GENEPAGE-479336,RAB30,"RAB30, member RAS oncogene family",RAB30,ENSG00000137502,XB-GENE-865263,432259
120,10657,XB-GENEPAGE-479346,KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",KHDRBS1,ENSG00000121774,XB-GENE-865264,398660
121,8431,XB-GENEPAGE-479353,NR0B2,nuclear receptor subfamily 0 group B member 2,NR0B2,ENSG00000131910,XB-GENE-17343232,108717989
122,629,XB-GENEPAGE-479360,CFB,complement factor B,CFB,ENSG00000243649,XB-GENE-865266,373577
123,653,XB-GENEPAGE-479370,BMP5,bone morphogenetic protein 5,BMP5,ENSG00000112175,XB-GENE-17343827,108718013
124,7276,XB-GENEPAGE-479394,TTR,transthyretin,TTR,ENSG00000118271,XB-GENE-17344424,108695276
125,55502,XB-GENEPAGE-479403,HES6.2,hes family bHLH transcription factor 6,HES6,ENSG00000144485,XB-GENE-17337817,108718189
126,55206,XB-GENEPAGE-479410,SBNO1,strawberry notch homolog 1,SBNO1,ENSG00000139697,XB-GENE-865270,100381048
127,1192,XB-GENEPAGE-479418,CLIC1,chloride intracellular channel 1,CLIC1,ENSG00000213719,XB-GENE-6255770,398656
128,4211,XB-GENEPAGE-479438,MEIS1,Meis homeobox 1,MEIS1,ENSG00000143995,XB-GENE-479443,399305
129,6534,XB-GENEPAGE-479448,SLC6A7,solute carrier family 6 member 7,SLC6A7,ENSG00000011083,XB-GENE-17336630,108712271
130,5090,XB-GENEPAGE-479457,PBX3,pre-B-cell leukemia homeobox 3,PBX3,ENSG00000167081,XB-GENE-17345377,108700014
131,5594,XB-GENEPAGE-479466,MAPK1,mitogen-activated protein kinase 1,MAPK1,ENSG00000100030,XB-GENE-865273,398985
132,80319,XB-GENEPAGE-479476,CXXC4,CXXC finger protein 4,CXXC4,ENSG00000168772,XB-GENE-6465497,108706732
133,51203,XB-GENEPAGE-479485,NUSAP1,nucleolar and spindle associated protein 1,NUSAP1,ENSG00000137804,XB-GENE-865275,734222
134,117579,XB-GENEPAGE-479504,RLN3,relaxin 3,RLN3,ENSG00000171136,XB-GENE-17332376,108703452
135,10134,XB-GENEPAGE-479511,BCAP31,B cell receptor associated protein 31,BCAP31,ENSG00000185825,XB-GENE-17332941,444602
136,2256,XB-GENEPAGE-479521,FGF11,fibroblast growth factor 11,FGF11,ENSG00000161958,XB-GENE-17341095,108703577
137,1031,XB-GENEPAGE-479531,CDKN2C,cyclin-dependent kinase inhibitor 2C,CDKN2C,ENSG00000123080,XB-GENE-6489023,108715590
138,57379,XB-GENEPAGE-479537,AICDA,activation-induced cytidine deaminase,AICDA,ENSG00000111732,XB-GENE-17332369,108697151
139,523,XB-GENEPAGE-479547,ATP6V1A,ATPase H+ transporting V1 subunit A,ATP6V1A,ENSG00000114573,XB-GENE-17340515,108709283
140,9839,XB-GENEPAGE-479557,ZEB2,zinc finger E-box binding homeobox 2,ZEB2,ENSG00000169554,XB-GENE-865280,100049718
141,7473,XB-GENEPAGE-479566,WNT3,Wnt family member 3,WNT3,ENSG00000108379,XB-GENE-17333618,108702370
142,2920,XB-GENEPAGE-479576,CXCL2,C-X-C motif chemokine ligand 2,CXCL2,ENSG00000081041,XB-GENE-17331118,108706768
143,3065,XB-GENEPAGE-479582,HDAC1,histone deacetylase 1,HDAC1,ENSG00000116478,XB-GENE-865283,379083
144,9655,XB-GENEPAGE-479592,SOCS5,suppressor of cytokine signaling 5,SOCS5,ENSG00000171150,XB-GENE-17335412,108717737
145,1495,XB-GENEPAGE-479598,CTNNA1,catenin alpha 1,CTNNA1,ENSG00000044115,XB-GENE-865285,399303
146,5511,XB-GENEPAGE-479607,PPP1R8,protein phosphatase 1 regulatory subunit 8,PPP1R8,ENSG00000117751,XB-GENE-17338132,779310
147,6689,XB-GENEPAGE-479614,SPIB,Spi-B transcription factor,SPIB,ENSG00000269404,XB-GENE-6255533,100037053
148,4783,XB-GENEPAGE-479623,NFIL3,"nuclear factor, interleukin 3 regulated",NFIL3,ENSG00000165030,XB-GENE-17345002,108707002
149,4607,XB-GENEPAGE-479642,MYBPC3,myosin binding protein C3,MYBPC3,ENSG00000134571,XB-GENE-865291,398261
150,5456,XB-GENEPAGE-479666,POU3F4,POU class 3 homeobox 4,POU3F4,ENSG00000196767,XB-GENE-17346234,444776
151,8654,XB-GENEPAGE-479675,PDE5A,phosphodiesterase 5A,PDE5A,ENSG00000138735,XB-GENE-865295,495103
152,5695,XB-GENEPAGE-479690,PSMB7.2,proteasome subunit beta 7,PSMB7,ENSG00000136930,XB-GENE-17335107,108700669
153,5504,XB-GENEPAGE-479700,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,PPP1R2,ENSG00000184203,XB-GENE-17345643,108718077
154,7855,XB-GENEPAGE-479706,FZD5,frizzled class receptor 5,FZD5,ENSG00000163251,XB-GENE-865299,373834
155,9150,XB-GENEPAGE-479715,CTDP1,CTD phosphatase subunit 1,CTDP1,ENSG00000060069,XB-GENE-865300,447713
156,362,XB-GENEPAGE-479725,AQP5,aquaporin 5,AQP5,ENSG00000161798,XB-GENE-17333224,108709135
157,3589,XB-GENEPAGE-479734,IL11,interleukin 11,IL11,ENSG00000095752,XB-GENE-17341388,108697752
158,7543,XB-GENEPAGE-479750,ZFX,zinc finger protein X-linked,ZFX,ENSG00000005889,XB-GENE-865304,397971
159,10818,XB-GENEPAGE-479759,FRS2,fibroblast growth factor receptor substrate 2,FRS2,ENSG00000166225,XB-GENE-17339585,398273
160,8320,XB-GENEPAGE-479768,EOMES,eomesodermin,EOMES,ENSG00000163508,XB-GENE-6487182,495078
161,1051,XB-GENEPAGE-479778,CEBPB,CCAAT enhancer binding protein beta,CEBPB,ENSG00000172216,XB-GENE-6464321,100337599
162,3827,XB-GENEPAGE-479794,KNG1,kininogen 1,KNG1,ENSG00000113889,XB-GENE-17338373,108718071
163,7291,XB-GENEPAGE-479801,TWIST1,twist family bHLH transcription factor 1,TWIST1,ENSG00000122691,XB-GENE-865309,378698
164,2306,XB-GENEPAGE-479817,FOXD2,forkhead box D2,FOXD2,ENSG00000186564,XB-GENE-865311,378641
165,6886,XB-GENEPAGE-479826,TAL1,T-cell acute lymphocytic leukemia 1,TAL1,ENSG00000162367,XB-GENE-865312,398028
166,51621,XB-GENEPAGE-479836,KLF13,KLF transcription factor 13,KLF13,ENSG00000169926,XB-GENE-6486371,108712952
167,4035,XB-GENEPAGE-479842,LRP1,LDL receptor related protein 1,LRP1,ENSG00000123384,XB-GENE-865314,496382
168,9970,XB-GENEPAGE-479858,NR1I3,nuclear receptor subfamily 1 group I member 3,NR1I3,ENSG00000143257,XB-GENE-6487128,101027281
169,8626,XB-GENEPAGE-479867,TP63,tumor protein p63,TP63,ENSG00000073282,XB-GENE-17341311,399036
170,5079,XB-GENEPAGE-479875,PAX5,paired box 5,PAX5,ENSG00000196092,XB-GENE-17333155,108703726
171,8471,XB-GENEPAGE-479892,IRS4,insulin receptor substrate 4,IRS4,ENSG00000133124,XB-GENE-865320,399388
172,54816,XB-GENEPAGE-479901,ZNF280D,zinc finger protein 280D,ZNF280D,ENSG00000137871,XB-GENE-17343413,108712933
173,3586,XB-GENEPAGE-479917,IL10,interleukin 10,IL10,ENSG00000136634,XB-GENE-6489349,108709106
174,7092,XB-GENEPAGE-479940,TLL1,tolloid like 1,TLL1,ENSG00000038295,XB-GENE-865326,399178
175,5911,XB-GENEPAGE-479950,RAP2A,"RAP2A, member of RAS oncogene family",RAP2A,ENSG00000125249,XB-GENE-479955,380407
176,836,XB-GENEPAGE-479959,CASP3.2,"caspase 3, gene 2",CASP3,ENSG00000164305,XB-GENE-865327,397720
177,6615,XB-GENEPAGE-479969,SNAI1,snail family zinc finger 1,SNAI1,ENSG00000124216,XB-GENE-865328,108702592
178,3209,XB-GENEPAGE-479979,HOXA13,homeobox A13,HOXA13,ENSG00000106031,XB-GENE-865329,378638
179,659,XB-GENEPAGE-479989,BMPR2,bone morphogenetic protein receptor type II,BMPR2,ENSG00000204217,XB-GENE-865330,397981
180,2257,XB-GENEPAGE-479998,FGF12,fibroblast growth factor 12,FGF12,ENSG00000114279,XB-GENE-865331,444635
181,977,XB-GENEPAGE-480008,CD151,CD151 molecule (Raph blood group),CD151,ENSG00000177697,XB-GENE-17341345,108715182
182,7025,XB-GENEPAGE-480017,NR2F1,nuclear receptor subfamily 2 group F member 1,NR2F1,ENSG00000175745,XB-GENE-17332047,494593
183,3005,XB-GENEPAGE-480027,H1-0,H1.0 linker histone,H1-0,ENSG00000189060,XB-GENE-6255778,398634
184,8140,XB-GENEPAGE-480034,SLC7A5,solute carrier family 7 member 5,SLC7A5,ENSG00000103257,XB-GENE-865334,734908
185,7920,XB-GENEPAGE-480043,ABHD16A,abhydrolase domain containing 16A,ABHD16A,ENSG00000204427,XB-GENE-6253783,380345
186,3309,XB-GENEPAGE-480059,HSPA5,heat shock protein family A (Hsp70) member 5,HSPA5,ENSG00000044574,XB-GENE-865337,379756
187,23043,XB-GENEPAGE-480066,TNIK,TRAF2 and NCK interacting kinase,TNIK,ENSG00000154310,XB-GENE-865338,443633
188,2290,XB-GENEPAGE-480075,FOXG1,forkhead box G1,FOXG1,ENSG00000176165,XB-GENE-17332587,108700624
189,3167,XB-GENEPAGE-480084,HMX2,H6 family homeobox 2,HMX2,ENSG00000188816,XB-GENE-865340,108697376
190,1915,XB-GENEPAGE-480093,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,EEF1A1,ENSG00000156508,XB-GENE-865341,386604
191,9927,XB-GENEPAGE-480102,MFN2,mitofusin 2,MFN2,ENSG00000116688,XB-GENE-17345244,108697551
192,8856,XB-GENEPAGE-480111,NR1I2,nuclear receptor subfamily 1 group I member 2,NR1I2,ENSG00000144852,XB-GENE-865343,399017
193,7124,XB-GENEPAGE-480130,TNF,tumor necrosis factor,TNF,ENSG00000232810,XB-GENE-17335928,108700235
194,183,XB-GENEPAGE-480137,AGT,angiotensinogen,AGT,ENSG00000135744,XB-GENE-6488165,108717410
195,3175,XB-GENEPAGE-480151,ONECUT1,one cut homeobox 1,ONECUT1,ENSG00000169856,XB-GENE-17335345,108712923
196,2868,XB-GENEPAGE-480158,GRK4,G protein-coupled receptor kinase 4,GRK4,ENSG00000125388,XB-GENE-6253381,474158
197,6257,XB-GENEPAGE-480166,RXRB,retinoid X receptor beta,RXRB,ENSG00000204231,XB-GENE-865350,398075
198,120237,XB-GENEPAGE-480176,DBX1,developing brain homeobox 1,DBX1,ENSG00000109851,XB-GENE-865351,373822
199,3569,XB-GENEPAGE-480185,IL6,interleukin 6,IL6,ENSG00000136244,XB-GENE-6489373,121395019
200,22976,XB-GENEPAGE-480191,PAXIP1,PAX interacting protein 1,PAXIP1,ENSG00000157212,XB-GENE-17334148,108719822
201,4735,XB-GENEPAGE-480200,SEPTIN2,septin 2,SEPTIN2,ENSG00000168385,XB-GENE-6255319,494757
202,4486,XB-GENEPAGE-480210,MST1R,macrophage stimulating 1 receptor,MST1R,ENSG00000164078,XB-GENE-17331392,108715819
203,27253,XB-GENEPAGE-480219,PCDH17,protocadherin 17,PCDH17,ENSG00000118946,XB-GENE-17331388,108709780
204,5465,XB-GENEPAGE-480228,PPARA,peroxisome proliferator activated receptor alpha,PPARA,ENSG00000186951,XB-GENE-17339020,398843
205,3479,XB-GENEPAGE-480238,IGF1,insulin like growth factor 1,IGF1,ENSG00000017427,XB-GENE-17330790,108712492
